# t (s)	mx ()	my ()	mz ()	maxTorque (T)
1.5700000000043205e-09	1.2133261e-10	-3.6399783e-10	0.00026142178	0.00020191952
1.5800000000044063e-09	9.706609e-10	-1.3346587e-09	0.00026136404	0.00019284498
1.590000000004492e-09	-2.3053195e-09	-1.2133261e-09	0.00026135627	0.00018641441
1.6000000000045779e-09	-1.6986565e-09	-2.6693174e-09	0.00026131986	0.00017652182
1.6100000000046637e-09	-1.5166576e-09	2.1233207e-10	0.00026130772	0.000172951
1.6200000000047495e-09	-1.5166576e-09	-1.2133261e-09	0.00026132812	0.00016163655
1.6300000000048352e-09	-2.79065e-09	-2.4266522e-10	0.00026137763	0.00015670528
1.640000000004921e-09	-2.7299838e-09	-1.6986565e-09	0.0002613536	0.00015188624
1.6500000000050068e-09	-2.3053195e-09	-3.7006447e-09	0.0002612461	0.00014312491
1.6600000000050926e-09	3.6399783e-10	-1.0919935e-09	0.00026116456	0.00013904252
1.6700000000051784e-09	-9.099946e-10	-1.395325e-09	0.0002611136	0.00013793517
1.6800000000052642e-09	-2.0626543e-09	1.6986565e-09	0.00026102722	0.00012731853
1.69000000000535e-09	-2.183987e-09	2.0626543e-09	0.00026102187	0.000120384226
1.7000000000054357e-09	-3.6399783e-10	2.0626543e-09	0.00026106797	0.00011613834
1.7100000000055215e-09	-1.6986565e-09	1.0919935e-09	0.00026103764	0.00011044569
1.7200000000056073e-09	-6.0666305e-10	-1.2133261e-10	0.0002611272	0.000107215106
1.730000000005693e-09	-6.0666305e-11	1.3346587e-09	0.00026115583	0.00010215193
1.7400000000057789e-09	-6.0666305e-10	4.8533044e-10	0.0002611442	0.00010227687
